--  This is WORDS 1.97 dictionary - The order is not exactly alphabetic
A: INTERJ             \Ah!; (distress/regret/pity, appeal/entreaty, surprise/joy, objection/contempt);
ENUNTIO, ENUNTIARE, ENUNTIAVI, ENUNTIATUS: V      1 1         \reveal/divulge/make known/disclose; speak out, express/state/assert; articulate;
ENUNTIO, ENUNTIARE, ENUNTIAVI, ENUNTIATUS: V      1 1         \reveal; say; disclose; report; speak out, express, declare;
ENUTRIO, ENUTRIRE, ENUTRIVI, ENUTRITUS: V      3 4         \nurture, rear (offspring);
EO: ADV    POS         \there, to that place; on this account, therefore; to that degree, so far;
EOUS, EOA, EOUM: ADJ    1 1 POS     \eastern; of the dawn; belonging to/of/set in the morning;
EOUS, EOI: N      2 1 M       \the morning star; dweller in the east; one of the horses of the sun;
EODEM: ADV    POS         \to the same place/purpose;
EOSOS, EOSI: N      2 6 F       \the dawn, Dawn (personified); the Orient;
EPASTUS, EPASTA, EPASTUM: ADJ    1 1 POS     \eaten up;
EPHEBUS, EPHEBI: N      2 1 M       \boy (Greek) at age of puberty; youth; adolescent (age 18-20 by Athenian law);
EPHEBEUM, EPHEBEI: N      2 2 N       \hall in gymnasium for the use of adolescents/teens;
EPHEBICEUS, EPHEBICEA, EPHEBICEUM: ADJ    1 1 POS     \suitable for adolescent/teen boy(s);
EPHEMERIS, EPHEMERIDIS: N      3 1 F       \journal, diary;
EPHESUS, EPHESI: N      2 1 F       \Ephesus, city in Asia Minor (w/temple of Artemis/a 7 wonder);
EPHESOS, EPHESI: N      2 6 F       \Ephesus, city in Asia Minor (w/temple of Artemis/a 7 wonder);
EPHESIUS, EPHESIA, EPHESIUM: ADJ    1 1 POS     \of/from/belonging to Ephesus (city in Asia Minor), Ephesian;
EPHIPPIUM, EPHIPPI(I): N      2 4 N       \pad saddle, horse blanket (to ride on);
EPHIPPIATUS, EPHIPPIATA, EPHIPPIATUM: ADJ    1 1 POS     \riding with a saddle;
EPHOD, UNDECLINED: N      9 9 N       \part od clothing of a Jewish priest;
EPHOEBUS, EPHOEBI: N      2 1 M       \boy (Greek) at age of puberty; youth; adolescent (age 18-20 by Athenian law);
EPHOEBIAS, EPHOEBIAE: N      1 8 M       \body of youth; group of adolescent boys;
EPHORUS, EPHORI: N      2 1 M       \an ephor, a Spartan magistrate;
EPHPHETA, UNDECLINED: V      9 9         \be thou opened (Mark 7:34); (Aramaic);
EPHRATHEUS, EPHRATHEI: N      2 1 M       \Ephramite, member of the Israel tribe of Ephraim;
EPICUS, EPICA, EPICUM: ADJ    1 1 POS     \epic;
EPICINIUM, EPICINI(I): N      2 4 N       \aftermath, afterwards; (victory);
EPICOPUS, EPICOPA, EPICOPUM: ADJ    1 1 POS     \provided with oars;
EPICROCUS, EPICROCA, EPICROCUM: ADJ    1 1 POS     \transparent, fine;
EPICUREUS, EPICUREA, EPICUREUM: ADJ    1 1 POS     \Epicurean, belonging to the Epicureans, following philosopher Epicurus;
EPICUREUS, EPICUREI: N      2 1 M       \Epicurean, one belonging to the Epicureans, follower philosopher Epicurus;
EPICURIUS, EPICURIA, EPICURIUM: ADJ    1 1 POS     \Epicurean, belonging to the Epicureans, following philosopher Epicurus;
EPICURIUS, EPICURII: N      2 1 M       \Epicurean, one belonging to the Epicureans, follower philosopher Epicurus;
EPIDICTICUS, EPIDICTICA, EPIDICTICUM: ADJ    1 1 POS     \for display;
EPIDIPNIS, EPIDIPNIDIS: N      3 1 F       \dessert;
EPIGRAMMA, EPIGRAMMATIS: N      3 2 N       \inscription, epigram;
EPILOGUS, EPILOGI: N      2 1 M       \conclusion, peroration, epilogue;
EPIMENIUM, EPIMENII: N      2 2 N       \month's rations (pl.);
EPINICIUM, EPINICII: N      2 2 N       \song of victory;
EPINICION, EPINICII: N      2 8 N       \song of victory;
EPINIKION, EPINIKII: N      2 8 N       \song of victory;
EPIREDIUM, EPIREDII: N      2 2 N       \strap by which a horse was fastened to a vehicle; a trace;
EPISCOPUS, EPISCOPI: N      2 1 M       \bishop; overseer;
EPISCOPALIS, EPISCOPALIS, EPISCOPALE: ADJ    3 2 POS     \episcopal, of a bishop;
EPISCOPATUS, EPISCOPATI: N      2 1 M       \bishopic; episcopate; office/dignity of a bishop; episcopal/bishop's see;
EPISTOLA, EPISTOLAE: N      1 1 F       \letter, dispatch;
EPISTOLIUM, EPISTOLII: N      2 2 N       \little letter, note;
EPISTULA, EPISTULAE: N      1 1 F       \letter, dispatch;
EPISTYLIUM, EPISTYLII: N      2 2 N       \architrave, crossbeam on/between columns; architrave+frieze+connice; capital;
EPITAPHIUM, EPITAPHII: N      2 2 N       \funeral oration;
EPITHALAMIUM, EPITHALAMII: N      2 2 N       \nuptial song;
EPITHECA, EPITHECAE: N      1 1 F       \addition;
EPITOMA, EPITOMAE: N      1 1 F       \epitome, abridgement;
EPITOME, EPITOMES: N      1 6 F       \epitome, abridgement;
EPOPS, EPOPIS: N      3 1 M       \hoopoe;
EPOREDORIX, EPOREDORIGIS: N      3 1 M       \Eporedorix; a Aedui Gaul;
EPOS, -: N      3 2 N       \epic poem (only in NOM and ACC S),;
EPOTUS, EPOTA, EPOTUM: ADJ    1 1 POS     \drunk up/down, drained; exhausted; absorbed, swallowed up;
EPOTO, EPOTARE, EPOTAVI, EPOTUS: V      1 1         \drink down/up, quaff, drain; absorb; swallow/suck up; empty (a vessel); engulf;
EPOTO, EPOTARE, EPOTAVI, EPOTATUS: V      1 1         \drink down/up, quaff, drain; absorb; swallow/suck up; empty (a vessel); engulf;
EPPHETA, UNDECLINED: V      9 9         \be thou opened (Mark 7:34); (Aramaic);
EPULA, EPULAE: N      1 1 F       \courses (pl.), food, dishes of food; dinner; banquet; feast for the eyes;
EPULUM, EPULI: N      2 2 N       \feast; solemn or public banquet; entertainment;
EPULOR, EPULARI, -, EPULATUS SUM: V      1 1         \dine sumptuously, feast;
EQ, ABB.: N      9 8 M       \knight (eques); abb. eq.; member of the equestrian order;
EQUA, EQUAE: N      1 1 F       \mare;
EQUUS, EQUI: N      2 1 M       \horse;
EQUES, EQUITIS: N      3 1 M       \horseman/cavalryman/rider; horsemen (pl.), cavalry, equestrian order;
EQUES, EQUITIS: N      3 1 M       \knight (abb. eq.); one wealthy enough to supply his own horse; horse (Bee);
EQUESTER, EQUESTRIS, EQUESTRE: ADJ    3 3 POS     \equestrian, relating to cavalry;
EQUESTER, EQUESTRIS: N      3 3 M       \knight;
EQUIDEM: ADV    POS         \truly, indeed; for my part;
EQUINUS, EQUINA, EQUINUM: ADJ    1 1 POS     \concerning horses;
EQUIPOLLENTER: ADV    POS         \equivalently;
EQUISO, EQUISONIS: N      3 1 M       \groom, stable-boy; person in charge of horses;
EQUITO, EQUITARE, EQUITAVI, EQUITATUS: V      1 1         \ride (horseback);
EQUITATUS, EQUITATUS: N      4 1 M       \cavalry;
EQUIVALENTER: ADV    POS         \equivalently;
ERA, ERAE: N      1 1 F       \mistress; lady of the house; woman in relation to her servants; Lady;
ERUS, ERI: N      2 1 M       \master, owner;
ERADICO, ERADICARE, ERADICAVI, ERADICATUS: V      1 1         \root out,eradicate;
ERCISCO, ERCISCERE, -, -: V      3 1         \to divide an inheritance;
ERECTUS, ERECTA, ERECTUM: ADJ    1 1 POS     \high, erect;
EREMUS, EREMA, EREMUM: ADJ    1 1 POS     \waste, desert;
EREMUS, EREMI: N      2 1 M       \wilderness, wasteland, desert;
EREMITA, EREMITAE: N      1 1 M       \hermit, eremite; anchorite; recluse;
EREMITICUS, EREMITICA, EREMITICUM: ADJ    1 1 POS     \solitary, secluded, recluse; living like a hermit;
EREMITIS, (GEN.), EREMIDIS: ADJ    3 1 POS     \solitary, secluded, recluse; living like a hermit;
ERGA: PREP   ACC         \towards, opposite (friendly);
ERGASTILUS, ERGASTILI: N      2 1 M       \jailer in a ergastulum/workhouse/penitentiary;
ERGASTULUM, ERGASTULI: N      2 2 N       \convicts (pl.); chain gang; inmates of a workhouse/penitentiary;
ERGASTULUM, ERGASTULI: N      2 2 N       \prison;  prison on estate where refractory slaves worked in chains; workhouse;
ERGO: ADV    POS         \therefore; well, then, now;
ERICIUS, ERICI(I): N      2 4 M       \hedgehog; beam thickly studded with iron spikes as a military barrier;
ERIGO, ERIGERE, EREXI, ERECTUS: V      3 1         \raise, erect, build; rouse, excite, stimulate;
ERILIS, ERILIS, ERILE: ADJ    3 2 POS     \of a master or mistress;
ERINACEUS, ERINACEI: N      2 1 M       \hedgehog;
ERINACIUS, ERINACII: N      2 1 M       \hedgehog;
ERIPIO, ERIPERE, ERIPUI, EREPTUS: V      3 1         \snatch away, take by force; rescue;
ERIS, ERIS: N      3 3 M       \hedgehog;
ERO, ERONIS: N      3 1 M       \kind of basket made with plaited reeds; hamper; (aero);
ERODIO, ERODIONIS: N      3 1 F       \heron; (pure Latin - ardea); hamper; (aero);
EROGO, EROGARE, EROGAVI, EROGATUS: V      1 1         \pay out, expend;
EROGATIO, EROGATIONIS: N      3 1 F       \paying out, distribution;
ERRO, ERRARE, ERRAVI, ERRATUS: V      1 1         \wander, go astray; make a mistake, err; vacillate;
ERRAUM, ERRAI: N      2 2 N       \error, mistake; lapse;
ERRABUNDUS, ERRABUNDA, ERRABUNDUM: ADJ    1 1 POS     \wandering;
ERRATICUS, ERRATICA, ERRATICUM: ADJ    1 1 POS     \roving, erratic; wild;
ERRO, ERRONIS: N      3 1 M       \truant; vagabond, wanderer;
ERRONEUS, ERRONEA, ERRONEUM: ADJ    1 1 POS     \wandering, straying; vagrant;
ERROR, ERRORIS: N      3 1 M       \wandering; error; winding, maze; uncertainty; deception;
ERUO, ERUERE, ERUI, ERUTUS: V      3 1         \pluck/dig/root up, overthrow, destroy; elicit;
ERUBESCO, ERUBESCERE, ERUBUI, -: V      3 1         \redden, blush, blush at; blush for shame, be ashamed of;
ERUCA, ERUCAE: N      1 1 F       \colewort;
ERUCTO, ERUCTARE, ERUCTAVI, ERUCTATUS: V      1 1         \bring up noisily; discharge violently;
ERUDIO, ERUDIRE, ERUDIVI, ERUDITUS: V      3 4         \educate, teach, instruct;
ERUDITUS, ERUDITA, ERUDITUM: ADJ    1 1 POS     \learned, skilled;
ERUDITIO, ERUDITIONIS: N      3 1 F       \instruction, teaching; knowledge aquired by instruction, learning; culture;
ERUGO, ERUGARE, ERUGAVI, ERUGATUS: V      1 1         \take wrinkles/creases from;
ERUGO, ERUGERE, -, ERUCTUS: V      3 1         \disgorge noisily (food/drink);
ERUMPO, ERUMPERE, ERUMPI, ERUMPTUS: V      3 1         \break out, burst/sally forth; erupt;
ERUPTIO, ERUPTIONIS: N      3 1 F       \sortie, rush, sally, sudden rush of troops from a position;
ERVUM, ERVI: N      2 2 N       \vetch;
ESUS, ESUS: N      4 1 N       \eating, taking of food;
ESCA, ESCAE: N      1 1 F       \food, meat; a dish prepared for the table; victuals, viands; bait;
ESCARIUS, ESCARIA, ESCARIUM: ADJ    1 1 POS     \relating to food or bait;
ESCENDO, ESCENDERE, ESCENDI, ESCENSUS: V      3 1         \ascend, go up, mount;
ESCULENTUS, ESCULENTA, ESCULENTUM: ADJ    1 1 POS     \edible, esculent;
ESECUTIO, ESECUTIONIS: N      3 1 F       \performance, carrying out; enforcement (law), act to right wrong; discussion;
ESSEDUM, ESSEDI: N      2 2 N       \war chariot (two wheeled); light traveling carriage;
ESSEDARIUS, ESSEDARIA, ESSEDARIUM: ADJ    1 1 POS     \of or belonging to a war chariot;
ESSEDARIUS, ESSEDARI(I): N      2 4 M       \gladiator, soldier fighting from a chariot;
ESSENTIO, ESSENTIRE, ESSENSI, ESSENSUS: V      3 4         \make real; endow with essence;
ESSENTIA, ESSENTIAE: N      1 1 F       \essence, substance, being, actuality, essential thing; existing entity, whole;
ESSENTIALIS, ESSENTIALIS, ESSENTIALE: ADJ    3 2 POS     \essential;
ESSENTIAL, ESSENTIALIS: N      3 4 N       \essential qualities (pl.);
ESSENTIALITER: ADV    POS         \essentially;
ESSENTIFICO, ESSENTIFICARE, ESSENTIFICAVI, ESSENTIFICATUS: V      1 1         \make real; endow with essence;
ESSENTIFICATIO, ESSENTIFICATIONIS: N      3 1 F       \realization, making real;
ESTUANS, (GEN.), ESTUANTIS: ADJ    3 1 POS     \passionate?;
ESTUANTER: ADV    POS         \passionately;
ESURIO, ESURIRE, ESURIVI, ESURITUS: V      3 4         \be hungry, hunger; want to eat, desire food; desire eagerly;
ESURIES, ESURIEI: N      5 1 F       \hunger;
ESURIO, ESURIONIS: N      3 1 M       \hungry man/person;
ET: CONJ               \and, and even; also, even;  (et ... et = both ... and);
ETC, ABB.: N      9 8 N       \etcetra, and so forth; abb. etc.; (in use in modern Latin texts if not before);
ETENIM: CONJ               \and indeed, because, since, as a matter of fact (independent reason, emphasis);
ETESIA, ETESIAE: N      1 1 M       \etesian winds (pl.), NW winds blowing during dog days in Eastern Mediterranean;
ETHNICUS, ETHNICA, ETHNICUM: ADJ    1 1 POS     \heathen; pagan;
ETHNICUS, ETHNICI: N      2 1 M       \heathen; pagan;
ETHOLOGUS, ETHOLOGI: N      2 1 M       \mimic;
ETIAM: CONJ               \now too, as yet, still, even now; and also, besides, furthermore; actually;
ETIAMNUM: ADV    POS         \even now, still, yet;
ETIAMNUNC: ADV    POS         \even now, still, yet;
ETIAMSI: CONJ               \even if, although;
ETIAMTUM: CONJ               \even then; yet;
ETSI: CONJ               \although, though, even if; albeit; I know that but;
ETYMOLOGIA, ETYMOLOGIAE: N      1 1 F       \etymology;
EU: INTERJ             \well done! bravo!; splendid! (sometimes ironic);
EUCHARIS, EUCHARIS, EUCHARE: ADJ    3 2 POS     \gracious;
EUCHARISTIA, EUCHARISTIAE: N      1 1 F       \Eucharist/Communion/Lord's Table; (elements thereof); any consecrated offering;
EUCHARISTIUM, EUCHARISTII: N      2 2 N       \consecrated elements (pl.) of the Eucharist/Communion;
EUCHARISTICUS, EUCHARISTICA, EUCHARISTICUM: ADJ    1 1 POS     \eucharistic;
EUCHARISTICON, EUCHARISTICI: N      2 8 N       \thanksgiving;
EUGAE: INTERJ             \oh, good! fine! well done! (delight/pleasure/surprise, sometimes ironic);
EUGE: INTERJ             \oh, good! fine! well done! (delight/pleasure/surprise, sometimes ironic);
EUGEPAE: INTERJ             \well done!; (sometimes ironic);
EUHANS, (GEN.), EUHANTIS: ADJ    3 1 POS     \uttering the name/cry Euhan (Bacchus);
EUHIUS, EUHII: N      2 1 M       \title given to Bacchus;
EUHIOS, EUHII: N      2 6 M       \title given to Bacchus;
EUHOE: INTERJ             \cry of joy used by the votaries of Bacchus;
EUNUCHUS, EUNUCHI: N      2 1 M       \eunuch;
EUOEEUHOE: INTERJ             \shout of the Bacchantes;
EUPHRATES, EUPHRATIS: N      3 1 M       \Euphrates; (river);
EURUS, EURI: N      2 1 M       \east (or south east) wind; the east;
EURESILOGUS, EURESLOGI: N      2 1 M       \sophist, sophistical person;
EURIPUS, EURIPI: N      2 1 M       \channel, canal;
EURISILOGUS, EURISLOGI: N      2 1 M       \sophist, sophistical person;
EUROUS, EUROA, EUROUM: ADJ    1 1 POS     \eastern;
EUROAQUILO, EUROAQUILONIS: N      3 1 M       \north-east wind;
EURONOTUS, EURONOTI: N      2 1 M       \south-east wind;
EUROPA, EUROPAE: N      1 1 F       \Europe;
EUSEBIUS, EUSEBI: N      2 5 M       \Eusebius; (Bishop of Caesarea, 260-341, 'Historia Ecclesiatica'); (Pope 310);
EVA, EVAE: N      1 1 F       \Eve;
EVACUO, EVACUARE, EVACUAVI, EVACUATUS: V      1 1         \empty (vessel); purge, evacuate (bowels);
EVADO, EVADERE, EVASI, EVASUS: V      3 1         \evade, escape; avoid;
EVAGOR, EVAGARI, -, EVAGATUS SUM: V      1 1         \wander off/out/forth/to and fro, stray; maneuver; spread, overstep;
EVAGINO, EVAGINARE, EVAGINAVI, EVAGINATUS: V      1 1         \unsheath;
EVALESCO, EVALESCERE, EVALUI, -: V      3 1         \increase in strength;  prevail, have sufficient strength (to);
EVANESCO, EVANESCERE, EVANUI, -: V      3 1         \vanish/disappear; pass/fade/die (away/out); lapse; become weak/void/forgotten;
EVANGELIUM, EVANGELII: N      2 2 N       \Good news; Gospel;
EVANGELIUM, EVANGELI(I): N      2 4 N       \Gospel, Good News;
EVANGELICUS, EVANGELICA, EVANGELICUM: ADJ    1 1 POS     \evangelical; of/pertaining to the Gospel;
EVANGELISTA, EVANGELISTAE: N      1 1 M       \preacher (of the Gospel); evangelist;
EVANGELIZO, EVANGELIZARE, EVANGELIZAVI, EVANGELIZATUS: V      1 1         \preach/declare/proclaim (the Gospel); evangelize, win to Gospel by preaching;
EVANGELIZATOR, EVANGELIZATORIS: N      3 1 M       \preacher (of the Gospel); evangelist;
EVANIDUS, EVANIDA, EVANIDUM: ADJ    1 1 POS     \vanishing, passing away;
EVANNO, EVANNERE, -, -: V      3 1         \winnow out; cast out (the chaff from fan leaving the grain);
EVASTO, EVASTARE, EVASTAVI, EVASTATUS: V      1 1         \devastate;
EVEHO, EVEHERE, EVEXI, EVECTUS: V      3 1         \carry away, convey out; carry up; exalt; jut out, project;
EVELLO, EVELLERE, EVELLI, EVULSUS: V      3 1         \pull/pluck/tear/root out;
EVENIT, EVENIRE, EVENIIT: V      3 4         \it happens, it turns out; come out, come forth;
EVENIO, EVENIRE, EVENI, EVENTUS: V      3 4         \come out/about/forth; happen; turn out;
EVENTUM, EVENTI: N      2 2 N       \occurrence, event; issue, outcome;
EVENTUS, EVENTUS: N      4 1 M       \outcome, result, success; event, occurrence; chance, fate, accident;
EVENTILO, EVENTILARE, EVENTILAVI, EVENTILATUS: V      1 1         \winnow thoroughly; fan away; fan (L+S); set in motion (air);
EVENTILATUS, EVENTILATA, EVENTILATUM: ADJ    1 1 POS     \scattered; dissipated;
EVERBERO, EVERBERARE, EVERBERAVI, EVERBERATUS: V      1 1         \beat violently;
EVERRICULUM, EVERRICULI: N      2 2 N       \fishing-net, drag-net; clean sweep;
EVERSIO, EVERSIONIS: N      3 1 F       \overthrowing; destruction;
EVERSOR, EVERSORIS: N      3 1 M       \one who destroys or overthrows;
EVERTO, EVERTERE, EVERTI, EVERSUS: V      3 1         \overturn, turn upside down; overthrow, destroy, ruin;
EVESTIGATUS, EVESTIGATA, EVESTIGATUM: ADJ    1 1 POS     \tracked out, discovered;
EVICTIO, EVICTIONIS: N      3 1 F       \eviction; recovery at law in virtue of superior title;
EVIDENS, (GEN.), EVIDENTIS: ADJ    3 1 POS     \apparent, evident;
EVIDENTER, EVIDENTIUS, EVIDENTISSIME: ADV    X           \clearly, obviously/manifestly/evidently; vividly, giving realistic impression;
EVIGILO, EVIGILARE, EVIGILAVI, EVIGILATUS: V      1 1         \be wakeful; watch throughout the night; devise or study with careful attention;
EVILESCO, EVILESCERE, EVILUI, -: V      3 1         \becone vile/worthless/despicable; cheapen;
EVINCO, EVINCERE, EVICI, EVICTUS: V      3 1         \overcome, conquer, subdue, overwhelm, defeat utterly; prevail, bring to pass;
EVINCIO, EVINCERE, EVINXI, EVINCTUS: V      3 1         \bind, bind up/around; wind around; wreathe round;
EVISCERO, EVISCERARE, -, EVISCERATUS: V      1 1         \disembowel; eviscerate;
EVITO, EVITARE, EVITAVI, EVITATUS: V      1 1         \shun avoid;
EVITABILIS, EVITABILIS, EVITABILE: ADJ    3 2 POS     \avoidable;
EVOCO, EVOCARE, EVOCAVI, EVOCATUS: V      1 1         \call forth; lure/entice out; summon, evoke;
EVOCATUS, EVOCATI: N      2 1 M       \veteran; volunteer; veterans again called to service (pl.);
EVOCATOR, EVOCATORIS: N      3 1 M       \one who orders out troops;
EVOLO, EVOLARE, EVOLAVI, EVOLATUS: V      1 1         \fly away, fly up/out/forth; rush out/forth;
EVOLVO, EVOLVERE, EVOLVI, EVOLUTUS: V      3 1         \roll out, unroll; disclose, unfold; extricate; pursue; explain;
EVOMO, EVOMERE, EVOMUI, EVOMITUS: V      3 1         \vomit out;
EVULGO, EVULGARE, EVULGAVI, EVULGATUS: V      1 1         \make public, divulge;
EVULSIO, EVULSIONIS: N      3 1 F       \pulling out; eradication, utter destruction; extinction (Souter);
EX: PREP   ABL         \out of, from; by reason of; according to; because of, as a result of;
EXACERBO, EXACERBARE, EXACERBAVI, EXACERBATUS: V      1 1         \irriate/exasperate, enrage/provoke; aggravate/make worse; grieve, afflict (L+S);
EXACERBATIO, EXACERBATIONIS: N      3 1 F       \provocation; exasperation;
EXACERBESCO, EXACERBESCERE, -, -: V      3 1         \become irriated/exasperated/angry;
EXACTUS, EXACTA, EXACTUM: ADJ    1 1 POS     \exact, accurate;
EXACTIO, EXACTIONIS: N      3 1 F       \expulsion; supervision, enforcement; precise execution; extraction (tax/debt);
EXACTIO, EXACTIONIS: N      3 1 F       \exaction (tax/debt), enforcement (labor); expulsion, driving out; supervision;
EXACTOR, EXACTORIS: N      3 1 M       \expeller; exactor; collector of taxes;
EXACUO, EXACUERE, EXACUI, EXACUTUS: V      3 1         \make sharp or pointed; stimulate;
EXADVERSUM: ADV    POS         \opposite;
EXADVERSUS: ADV    POS         \opposite;
EXAEDIFICO, EXAEDIFICARE, EXAEDIFICAVI, EXAEDIFICATUS: V      1 1         \complete the building of, construct;
EXAEQUO, EXAEQUARE, EXAEQUAVI, EXAEQUATUS: V      1 1         \equalize, make equal; regard as equal; be equal (to);
EXAESTUO, EXAESTUARE, EXAESTUAVI, EXAESTUATUS: V      1 1         \boil up; seethe, rage;
EXAGGERO, EXAGGERARE, EXAGGERAVI, EXAGGERATUS: V      1 1         \heap up, accumulate; magnify;
EXAGITO, EXAGITARE, EXAGITAVI, EXAGITATUS: V      1 1         \drive out; stir up, disturb continually, attack, scold, discuss;
EXALTO, EXALTARE, EXALTAVI, EXALTATUS: V      1 1         \exalt, elevate, raise; praise; deepen;
EXALTATIO, EXALTATIONIS: N      3 1 F       \exaltation, elevation; pride, haughtiness;
EXAMEN, EXAMINIS: N      3 2 N       \swarm (of bees); crowd; apparatus or process of weighing, balance;
EXAMINO, EXAMINARE, EXAMINAVI, EXAMINATUS: V      1 1         \weigh, examine, consider;
EXAMUSSIM: ADV    POS         \according to rule, exactly, quite;
EXANIMUS, EXANIMA, EXANIMUM: ADJ    1 1 POS     \dead; lifeless;
EXANIMIS, EXANIMIS, EXANIME: ADJ    3 2 POS     \dead; lifeless; breathless, terrified, dismayed;
EXANIMO, EXANIMARE, EXANIMAVI, EXANIMATUS: V      1 1         \kill, deprive of life; scare, alarm greatly; tire, exhaust; be out of breath;
EXANIMALIS, EXANIMALIS, EXANIMALE: ADJ    3 2 POS     \dead; deadly;
EXARO, EXARARE, EXARAVI, EXARATUS: V      1 1         \plow or dig up; plow; note down (by scratching the wax on the tablets);
EXARDESCO, EXARDESCERE, EXARSI, EXARSUS: V      3 1         \flare/blaze up; break out; glow; rage; be provoked, enraged; be exasperated;
EXARESCO, EXARESCERE, EXARUI, -: V      3 1         \dry up;
EXASPERO, EXASPERARE, EXASPERAVI, EXASPERATUS: V      1 1         \roughen; irritate;
EXATIO, EXATIARE, EXATIAVI, EXATIATUS: V      1 1         \satisfy, satiate; glut;
EXAUCTORO, EXAUCTORARE, EXAUCTORAVI, EXAUCTORATUS: V      1 1         \release or dismiss from military service;
EXAUDIO, EXAUDIRE, EXAUDIVI, EXAUDITUS: V      3 4         \hear clearly; comply with, heed; hear from afar;
EXAUGURATIO, EXAUGURATIONIS: N      3 1 F       \profanation, desecration;
EXCAECO, EXCAECARE, EXCAECAVI, EXCAECATUS: V      1 1         \blind (completely), confuse/hide/obscure; (Isaiah 6:10);
EXCALCEO, EXCALCEARE, EXCALCEAVI, EXCALCEATUS: V      1 1         \remove the shoes from;
EXCALCEOR, EXCALCEARI, -, EXCALCEATUS SUM: V      1 1         \remove the shoes from;
EXCALCEATUS, EXCALCEATA, EXCALCEATUM: ADJ    1 1 POS     \barefoot; unshod;
EXCALCIO, EXCALCIARE, EXCALCIAVI, EXCALCIATUS: V      1 1         \remove the shoes from;
EXCANDESCENTIA, EXCANDESCENTIAE: N      1 1 F       \heat, irascibility;
EXCEDO, EXCEDERE, EXCESSI, EXCESSUS: V      3 1         \pass, withdraw, exceed; go away/out/beyond; die;
EXCELLO, EXCELLERE, -, EXCELSUS: V      3 1         \be eminent/preeminent; excel;
EXCELLENS, EXCELLENTIS (GEN.), EXCELLENTIOR -OR -US, EXCELLENTISSIMUS -A -UM: ADJ    3 1 X       \distinguished, excellent;
EXCELLENTER: ADV    POS         \excellently;
EXCELLENTIA, EXCELLENTIAE: N      1 1 F       \excellence, , superiority; merit;
EXCELSUS, EXCELSI: N      2 1 M       \lofty/high; tall; exalted; elevated; noble; of high position/rank/reputation;
EXCELSUS, EXCELSA -UM, EXCELSIOR -OR -US, EXCELSISSIMUS -A -UM: ADJ    1 1 X       \lofty/high; tall; exalted; elevated; noble; of high position/rank/reputation;
EXCEPTO, EXCEPTARE, EXCEPTAVI, EXCEPTATUS: V      1 1         \take out, take up; inhale, take (to oneself);
EXCEPTIO, EXCEPTIONIS: N      3 1 F       \exception, qualification;
EXCEREBRO, EXCEREBRARE, EXCEREBRAVI, EXCEREBRATUS: V      1 1         \brain, bash the head in; deprive of brains; make senseless; stupify;
EXCERPO, EXCERPERE, EXCERPSI, EXCERPTUS: V      3 1         \pick out; select;
EXCESSUS, EXCESSUS: N      4 1 M       \departure; death; digression;
EXCETRA, EXCETRAE: N      1 1 F       \snake, viper;
EXCIO, EXCIRE, EXCIVI, EXCITUS: V      3 4         \rouse: call out send for: summon; evoke;
EXCIEO, EXCIERE, -, -: V      2 1         \rouse: call out send for: summon; evoke;
EXCIDO, EXCIDERE, EXCIDI, EXCISUS: V      3 1         \cut out/off/down; raze, destroy;
EXCIDO, EXCIDERE, EXCIDI, -: V      3 1         \perish; disappear; escape, fall out; be deprived of; lose control of senses;
EXCIDIUM, EXCIDI(I): N      2 4 N       \ruin, destruction, military destruction; overthrow;
EXCINDO, EXCINDERE, EXCIDI, EXCISSUS: V      3 1         \demolish, destroy;
EXCIPIO, EXCIPERE, EXCEPI, EXCEPTUS: V      3 1         \take out; remove; follow; receive; ward off, relieve;
EXCITO, EXCITARE, EXCITAVI, EXCITATUS: V      1 1         \wake up, stir up; cause; raise, erect; incite; excite, arouse;
EXCLAMO, EXCLAMARE, EXCLAMAVI, EXCLAMATUS: V      1 1         \exclaim, shout; cry out, call out;
EXCLAMATIO, EXCLAMATIONIS: N      3 1 F       \exclamation, saying;
EXCLUDO, EXCLUDERE, EXCLUSI, EXCLUSUS: V      3 1         \shut out, shut off; remove; exclude; hinder, prevent;
EXCOGITO, EXCOGITARE, EXCOGITAVI, EXCOGITATUS: V      1 1         \think out; devise, invent, contrive;
EXCOLO, EXCOLERE, EXCOLUI, EXCULUS: V      3 1         \improve; develop, honour;
EXCOQUO, EXCOQUERE, EXCOXI, EXCOCTUS: V      3 1         \boil; temper (by heat); boil away; dry up, parch;
EXCORIO, EXCORIARE, EXCORIAVI, EXCORIATUS: V      1 1         \strip of skin/covering; flay, skin, strip;
EXCORS, (GEN.), EXCORDIS: ADJ    3 1 POS     \silly, stupid;
EXCREMENTUM, EXCREMENTI: N      2 2 N       \excrement; spittle, mucus;
EXCRESCO, EXCRESCERE, EXCREVI, EXCRETUS: V      3 1         \grow out or up; grow up; grow;
EXCRUCIO, EXCRUCIARE, EXCRUCIAVI, EXCRUCIATUS: V      1 1         \torture; torment;
EXCUBO, EXCUBARE, EXCUBUI, EXCUBITUS: V      1 1         \sleep/lie in the open/out of doors; keep watch; be attentive;
EXCUBIA, EXCUBIAE: N      1 1 F       \watching (pl.); keeping of a watch/guard/vigil; the watch, soldiers on guard;
EXCUBITOR, EXCUBITORIS: N      3 1 M       \sentinel; watchman;
